,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
509,No Man's Land,2001,R,98.0,7.9,84.0,Danis Tanovic,Branko Djuric,Rene Bitorajac,Filip Sovagovic,Georges Siatidis,44618,1059830.0,Comedy,No,Man's,Land,,,,,,,,,,
510,Cowboy Bebop: Tengoku no tobira,2001,U,115.0,7.9,61.0,Shin'ichirô Watanabe,Tensai Okamura,Hiroyuki Okiura,Yoshiyuki Takei,Beau Billingslea,42897,1000045.0,Animation,Cowboy,Bebop:,Tengoku,no,tobira,,,,,,,,
511,The Bourne Identity,2002,UA,119.0,7.9,68.0,Doug Liman,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,508771,121661683.0,Action,The,Bourne,Identity,,,,,,,,,,
512,Nueve reinas,2000,R,114.0,7.9,80.0,Fabián Bielinsky,Ricardo Darín,Gastón Pauls,Graciela Tenenbaum,María Mercedes Villagra,49721,1221261.0,Crime,Nueve,reinas,,,,,,,,,,,
513,Children of Men,2006,A,109.0,7.9,84.0,Alfonso Cuarón,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,465113,35552383.0,Adventure,Children,of,Men,,,,,,,,,,
514,Almost Famous,2000,A,122.0,7.9,90.0,Cameron Crowe,Billy Crudup,Patrick Fugit,Kate Hudson,Frances McDormand,252586,32534850.0,Adventure,Almost,Famous,,,,,,,,,,,
515,Mulholland Dr.,2001,R,147.0,7.9,85.0,David Lynch,Naomi Watts,Laura Harring,Justin Theroux,Jeanne Bates,322031,7220243.0,Drama,Mulholland,Dr.,,,,,,,,,,,
516,Toy Story 2,1999,U,92.0,7.9,88.0,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,527512,245852179.0,Animation,Toy,Story,2,,,,,,,,,,
517,Boogie Nights,1997,R,155.0,7.9,85.0,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore,Burt Reynolds,Luis Guzmán,239473,26400640.0,Drama,Boogie,Nights,,,,,,,,,,,
519,Once Were Warriors,1994,A,102.0,7.9,77.0,Lee Tamahori,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,31590,2201126.0,Crime,Once,Were,Warriors,,,,,,,,,,
520,True Romance,1993,R,119.0,7.9,59.0,Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,206918,12281500.0,Crime,True,Romance,,,,,,,,,,,
521,Trois couleurs: Bleu,1993,U,94.0,7.9,85.0,Krzysztof Kieslowski,Juliette Binoche,Zbigniew Zamachowski,Julie Delpy,Benoît Régent,89836,1324974.0,Drama,Trois,couleurs:,Bleu,,,,,,,,,,
523,Carlito's Way,1993,A,144.0,7.9,65.0,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo,201000,36948322.0,Crime,Carlito's,Way,,,,,,,,,,,
524,Edward Scissorhands,1990,U,105.0,7.9,74.0,Tim Burton,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,447368,56362352.0,Drama,Edward,Scissorhands,,,,,,,,,,,
525,My Left Foot: The Story of Christy Brown,1989,U,103.0,7.9,97.0,Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Kirsten Sheridan,68076,14743391.0,Biography,My,Left,Foot:,The,Story,of,Christy,Brown,,,,,
526,Crimes and Misdemeanors,1989,PG-13,104.0,7.9,77.0,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,Claire Bloom,54670,18254702.0,Comedy,Crimes,and,Misdemeanors,,,,,,,,,,
