,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
800,Office Space,1999,R,89.0,7.7,68.0,Mike Judge,Ron Livingston,Jennifer Aniston,David Herman,Ajay Naidu,241575,10824921.0,Comedy,Office,Space,,,,,,,,,,,
802,Training Day,2001,A,122.0,7.7,69.0,Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,390247,76631907.0,Crime,Training,Day,,,,,,,,,,,
803,Rushmore,1998,UA,93.0,7.7,86.0,Wes Anderson,Jason Schwartzman,Bill Murray,Olivia Williams,Seymour Cassel,169229,17105219.0,Comedy,Rushmore,,,,,,,,,,,,
805,Being John Malkovich,1999,R,113.0,7.7,90.0,Spike Jonze,John Cusack,Cameron Diaz,Catherine Keener,John Malkovich,312542,22858926.0,Comedy,Being,John,Malkovich,,,,,,,,,,
806,As Good as It Gets,1997,A,139.0,7.7,67.0,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,275755,148478011.0,Comedy,As,Good,as,It,Gets,,,,,,,,
807,The Fifth Element,1997,UA,126.0,7.7,52.0,Luc Besson,Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm,434125,63540020.0,Action,The,Fifth,Element,,,,,,,,,,
808,Le dîner de cons,1998,PG-13,80.0,7.7,73.0,Francis Veber,Thierry Lhermitte,Jacques Villeret,Francis Huster,Daniel Prévost,37424,4065116.0,Comedy,Le,dîner,de,cons,,,,,,,,,
809,Donnie Brasco,1997,A,127.0,7.7,76.0,Mike Newell,Al Pacino,Johnny Depp,Michael Madsen,Bruno Kirby,279318,41909762.0,Biography,Donnie,Brasco,,,,,,,,,,,
810,Shine,1996,U,105.0,7.7,87.0,Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Sonia Todd,51350,35811509.0,Biography,Shine,,,,,,,,,,,,
811,Primal Fear,1996,A,129.0,7.7,47.0,Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney,189716,56116183.0,Crime,Primal,Fear,,,,,,,,,,,
813,A Little Princess,1995,U,97.0,7.7,83.0,Alfonso Cuarón,Liesel Matthews,Eleanor Bron,Liam Cunningham,Rusty Schwimmer,32236,10019307.0,Drama,A,Little,Princess,,,,,,,,,,
815,Il postino,1994,U,108.0,7.7,81.0,Michael Radford,Massimo Troisi,Massimo Troisi,Philippe Noiret,Maria Grazia Cucinotta,33600,21848932.0,Biography,Il,postino,,,,,,,,,,,
816,Clerks,1994,R,92.0,7.7,70.0,Kevin Smith,Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti,Lisa Spoonauer,211450,3151130.0,Comedy,Clerks,,,,,,,,,,,,
817,Short Cuts,1993,R,188.0,7.7,79.0,Robert Altman,Andie MacDowell,Julianne Moore,Tim Robbins,Bruce Davison,42275,6110979.0,Comedy,Short,Cuts,,,,,,,,,,,
818,Philadelphia,1993,UA,125.0,7.7,66.0,Jonathan Demme,Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman,224169,77324422.0,Drama,Philadelphia,,,,,,,,,,,,
819,The Muppet Christmas Carol,1992,G,85.0,7.7,64.0,Brian Henson,Michael Caine,Kermit the Frog,Dave Goelz,Miss Piggy,50298,27281507.0,Comedy,The,Muppet,Christmas,Carol,,,,,,,,,
820,Malcolm X,1992,U,202.0,7.7,73.0,Spike Lee,Denzel Washington,Angela Bassett,Delroy Lindo,Spike Lee,85819,48169908.0,Biography,Malcolm,X,,,,,,,,,,,
821,The Last of the Mohicans,1992,UA,112.0,7.7,76.0,Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,150409,75505856.0,Action,The,Last,of,the,Mohicans,,,,,,,,
823,Glengarry Glen Ross,1992,R,100.0,7.7,82.0,James Foley,Al Pacino,Jack Lemmon,Alec Baldwin,Alan Arkin,95826,10725228.0,Crime,Glengarry,Glen,Ross,,,,,,,,,,
824,A Few Good Men,1992,U,138.0,7.7,62.0,Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,235388,141340178.0,Drama,A,Few,Good,Men,,,,,,,,,
825,Fried Green Tomatoes,1991,PG-13,130.0,7.7,64.0,Jon Avnet,Kathy Bates,Jessica Tandy,Mary Stuart Masterson,Mary-Louise Parker,66941,82418501.0,Drama,Fried,Green,Tomatoes,,,,,,,,,,
826,Barton Fink,1991,U,116.0,7.7,69.0,Joel Coen,Ethan Coen,John Turturro,John Goodman,Judy Davis,113240,6153939.0,Comedy,Barton,Fink,,,,,,,,,,,
827,Miller's Crossing,1990,R,115.0,7.7,66.0,Joel Coen,Ethan Coen,Gabriel Byrne,Albert Finney,John Turturro,125822,5080409.0,Crime,Miller's,Crossing,,,,,,,,,,,
828,Who Framed Roger Rabbit,1988,U,104.0,7.7,83.0,Robert Zemeckis,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Charles Fleischer,182009,156452370.0,Animation,Who,Framed,Roger,Rabbit,,,,,,,,,
830,Withnail & I,1987,R,107.0,7.7,84.0,Bruce Robinson,Richard E. Grant,Paul McGann,Richard Griffiths,Ralph Brown,40396,1544889.0,Comedy,Withnail,&,I,,,,,,,,,,
831,The Last Emperor,1987,U,163.0,7.7,76.0,Bernardo Bertolucci,John Lone,Joan Chen,Peter O'Toole,Ruocheng Ying,94326,43984230.0,Biography,The,Last,Emperor,,,,,,,,,,
832,Empire of the Sun,1987,U,153.0,7.7,62.0,Steven Spielberg,Christian Bale,John Malkovich,Miranda Richardson,Nigel Havers,115677,22238696.0,Action,Empire,of,the,Sun,,,,,,,,,
833,Der Name der Rose,1986,R,130.0,7.7,54.0,Jean-Jacques Annaud,Sean Connery,Christian Slater,Helmut Qualtinger,Elya Baskin,102031,7153487.0,Crime,Der,Name,der,Rose,,,,,,,,,
834,Blue Velvet,1986,A,120.0,7.7,76.0,David Lynch,Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern,181285,8551228.0,Drama,Blue,Velvet,,,,,,,,,,,
835,The Purple Rose of Cairo,1985,U,82.0,7.7,75.0,Woody Allen,Mia Farrow,Jeff Daniels,Danny Aiello,Irving Metzman,47102,10631333.0,Comedy,The,Purple,Rose,of,Cairo,,,,,,,,
836,After Hours,1985,UA,97.0,7.7,90.0,Martin Scorsese,Griffin Dunne,Rosanna Arquette,Verna Bloom,Tommy Chong,59635,10600000.0,Comedy,After,Hours,,,,,,,,,,,
838,The Verdict,1982,U,129.0,7.7,77.0,Sidney Lumet,Paul Newman,Charlotte Rampling,Jack Warden,James Mason,36096,54000000.0,Drama,The,Verdict,,,,,,,,,,,
839,Star Trek II: The Wrath of Khan,1982,U,113.0,7.7,67.0,Nicholas Meyer,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,112704,78912963.0,Action,Star,Trek,II:,The,Wrath,of,Khan,,,,,,
840,First Blood,1982,A,93.0,7.7,61.0,Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney,226541,47212904.0,Action,First,Blood,,,,,,,,,,,
841,Ordinary People,1980,U,124.0,7.7,86.0,Robert Redford,Donald Sutherland,Mary Tyler Moore,Judd Hirsch,Timothy Hutton,47099,54800000.0,Drama,Ordinary,People,,,,,,,,,,,
842,Airplane!,1980,U,88.0,7.7,78.0,Jim Abrahams,David Zucker,Jerry Zucker,Robert Hays,Julie Hagerty,214882,83400000.0,Comedy,Airplane!,,,,,,,,,,,,
844,Halloween,1978,A,91.0,7.7,87.0,John Carpenter,Donald Pleasence,Jamie Lee Curtis,Tony Moran,Nancy Kyes,233106,47000000.0,Horror,Halloween,,,,,,,,,,,,
845,Le locataire,1976,R,126.0,7.7,71.0,Roman Polanski,Roman Polanski,Isabelle Adjani,Melvyn Douglas,Jo Van Fleet,39889,1924733.0,Drama,Le,locataire,,,,,,,,,,,
848,Blazing Saddles,1974,A,93.0,7.7,73.0,Mel Brooks,Cleavon Little,Gene Wilder,Slim Pickens,Harvey Korman,125993,119500000.0,Comedy,Blazing,Saddles,,,,,,,,,,,
849,Serpico,1973,A,130.0,7.7,87.0,Sidney Lumet,Al Pacino,John Randolph,Jack Kehoe,Biff McGuire,109941,29800000.0,Biography,Serpico,,,,,,,,,,,,
850,Enter the Dragon,1973,A,102.0,7.7,83.0,Robert Clouse,Bruce Lee,John Saxon,Jim Kelly,Ahna Capri,96561,25000000.0,Action,Enter,the,Dragon,,,,,,,,,,
851,Deliverance,1972,U,109.0,7.7,80.0,John Boorman,Jon Voight,Burt Reynolds,Ned Beatty,Ronny Cox,98740,7056013.0,Adventure,Deliverance,,,,,,,,,,,,
852,The French Connection,1971,A,104.0,7.7,94.0,William Friedkin,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco,110075,15630710.0,Action,The,French,Connection,,,,,,,,,,
853,Dirty Harry,1971,A,102.0,7.7,90.0,Don Siegel,Clint Eastwood,Andrew Robinson,Harry Guardino,Reni Santoni,143292,35900000.0,Action,Dirty,Harry,,,,,,,,,,,
855,The Odd Couple,1968,G,105.0,7.7,86.0,Gene Saks,Jack Lemmon,Walter Matthau,John Fiedler,Herb Edelman,31572,44527234.0,Comedy,The,Odd,Couple,,,,,,,,,,
858,A Man for All Seasons,1966,U,120.0,7.7,72.0,Fred Zinnemann,Paul Scofield,Wendy Hiller,Robert Shaw,Leo McKern,31222,28350000.0,Biography,A,Man,for,All,Seasons,,,,,,,,
861,Goldfinger,1964,A,110.0,7.7,87.0,Guy Hamilton,Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton,174119,51081062.0,Action,Goldfinger,,,,,,,,,,,,
862,The Birds,1963,A,119.0,7.7,90.0,Alfred Hitchcock,Rod Taylor,Tippi Hedren,Jessica Tandy,Suzanne Pleshette,171739,11403529.0,Drama,The,Birds,,,,,,,,,,,
865,The Magnificent Seven,1960,Approved,128.0,7.7,74.0,John Sturges,Yul Brynner,Steve McQueen,Charles Bronson,Eli Wallach,87719,4905000.0,Action,The,Magnificent,Seven,,,,,,,,,,
873,The African Queen,1951,PG,105.0,7.7,91.0,John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull,71481,536118.0,Adventure,The,African,Queen,,,,,,,,,,
875,Fantasia,1940,G,125.0,7.7,96.0,James Algar,Samuel Armstrong,Ford Beebe Jr.,Norman Ferguson,David Hand,88662,76408097.0,Animation,Fantasia,,,,,,,,,,,,
878,Searching,2018,U/A,102.0,7.6,71.0,Aneesh Chaganty,John Cho,Debra Messing,Joseph Lee,Michelle La,140840,26020957.0,Drama,Searching,,,,,,,,,,,,
879,Once Upon a Time... in Hollywood,2019,A,161.0,7.6,83.0,Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,551309,142502728.0,Comedy,Once,Upon,a,Time...,in,Hollywood,,,,,,,
880,Nelyubov,2017,R,127.0,7.6,86.0,Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,Marina Vasileva,29765,566356.0,Drama,Nelyubov,,,,,,,,,,,,
881,The Florida Project,2017,A,111.0,7.6,92.0,Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera,95181,5904366.0,Drama,The,Florida,Project,,,,,,,,,,
883,Gifted,2017,PG-13,101.0,7.6,60.0,Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,99643,24801212.0,Drama,Gifted,,,,,,,,,,,,
884,The Peanut Butter Falcon,2019,PG-13,97.0,7.6,70.0,Tyler Nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson,66346,13122642.0,Adventure,The,Peanut,Butter,Falcon,,,,,,,,,
886,Mustang,2015,PG-13,97.0,7.6,83.0,Deniz Gamze Ergüven,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan,35785,845464.0,Drama,Mustang,,,,,,,,,,,,
887,Guardians of the Galaxy Vol. 2,2017,UA,136.0,7.6,67.0,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,569974,389813101.0,Action,Guardians,of,the,Galaxy,Vol.,2,,,,,,,
888,Baby Driver,2017,UA,113.0,7.6,86.0,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,439406,107825862.0,Action,Baby,Driver,,,,,,,,,,,
889,Only the Brave,2017,UA,134.0,7.6,72.0,Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly,58371,18340051.0,Action,Only,the,Brave,,,,,,,,,,
890,Bridge of Spies,2015,UA,142.0,7.6,81.0,Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan,287659,72313754.0,Drama,Bridge,of,Spies,,,,,,,,,,
891,Incredibles 2,2018,UA,118.0,7.6,80.0,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,250057,608581744.0,Animation,Incredibles,2,,,,,,,,,,,
892,Moana,2016,U,107.0,7.6,81.0,Ron Clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho,272784,248757044.0,Animation,Moana,,,,,,,,,,,,
893,Sicario,2015,A,121.0,7.6,82.0,Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,371291,46889293.0,Action,Sicario,,,,,,,,,,,,
894,Creed,2015,A,133.0,7.6,82.0,Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,247666,109767581.0,Drama,Creed,,,,,,,,,,,,
895,Leviafan,2014,R,140.0,7.6,92.0,Andrey Zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov,49397,1092800.0,Crime,Leviafan,,,,,,,,,,,,
896,Hell or High Water,2016,R,102.0,7.6,88.0,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,204175,26862450.0,Action,Hell,or,High,Water,,,,,,,,,
897,Philomena,2013,PG-13,98.0,7.6,77.0,Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,94212,37707719.0,Biography,Philomena,,,,,,,,,,,,
898,Dawn of the Planet of the Apes,2014,UA,130.0,7.6,79.0,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-McPhee,411599,208545589.0,Action,Dawn,of,the,Planet,of,the,Apes,,,,,,
900,Serbuan maut,2011,A,101.0,7.6,73.0,Gareth Evans,Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah,190531,4105123.0,Action,Serbuan,maut,,,,,,,,,,,
901,End of Watch,2012,A,109.0,7.6,68.0,David Ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,228132,41003371.0,Action,End,of,Watch,,,,,,,,,,
902,Kari-gurashi no Arietti,2010,U,94.0,7.6,80.0,Hiromasa Yonebayashi,Amy Poehler,Mirai Shida,Ryûnosuke Kamiki,Tatsuya Fujiwara,80939,19202743.0,Animation,Kari-gurashi,no,Arietti,,,,,,,,,,
903,A Star Is Born,2018,UA,136.0,7.6,88.0,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,334312,215288866.0,Drama,A,Star,Is,Born,,,,,,,,,
904,True Grit,2010,PG-13,110.0,7.6,80.0,Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,311822,171243005.0,Drama,True,Grit,,,,,,,,,,,
905,Hævnen,2010,R,118.0,7.6,65.0,Susanne Bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson,38491,1008098.0,Drama,Hævnen,,,,,,,,,,,,
906,Despicable Me,2010,U,95.0,7.6,72.0,Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand,500851,251513985.0,Animation,Despicable,Me,,,,,,,,,,,
907,50/50,2011,R,100.0,7.6,72.0,Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,315426,35014192.0,Comedy,50/50,,,,,,,,,,,,
908,Kick-Ass,2010,UA,117.0,7.6,66.0,Matthew Vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,524081,48071303.0,Action,Kick-Ass,,,,,,,,,,,,
910,Moneyball,2011,PG-13,133.0,7.6,87.0,Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,369529,75605492.0,Biography,Moneyball,,,,,,,,,,,,
911,La piel que habito,2011,R,120.0,7.6,70.0,Pedro Almodóvar,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,138959,3185812.0,Drama,La,piel,que,habito,,,,,,,,,
912,Zombieland,2009,A,88.0,7.6,73.0,Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin,520041,75590286.0,Adventure,Zombieland,,,,,,,,,,,,
914,Sherlock Holmes,2009,PG-13,128.0,7.6,57.0,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,583158,209028679.0,Action,Sherlock,Holmes,,,,,,,,,,,
915,The Blind Side,2009,UA,129.0,7.6,53.0,John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head,293266,255959475.0,Biography,The,Blind,Side,,,,,,,,,,
916,The Visitor,2007,PG-13,104.0,7.6,79.0,Tom McCarthy,Richard Jenkins,Haaz Sleiman,Danai Gurira,Hiam Abbass,41544,9422422.0,Drama,The,Visitor,,,,,,,,,,,
917,Seven Pounds,2008,UA,123.0,7.6,36.0,Gabriele Muccino,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy,286770,69951824.0,Drama,Seven,Pounds,,,,,,,,,,,
918,Eastern Promises,2007,R,100.0,7.6,82.0,David Cronenberg,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,Josef Altin,227760,17114882.0,Action,Eastern,Promises,,,,,,,,,,,
919,Stardust,2007,U,127.0,7.6,66.0,Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,Ian McKellen,255036,38634938.0,Adventure,Stardust,,,,,,,,,,,,
921,Inside Man,2006,R,129.0,7.6,76.0,Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer,339757,88513495.0,Crime,Inside,Man,,,,,,,,,,,
922,Gone Baby Gone,2007,R,114.0,7.6,72.0,Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan,250590,20300218.0,Crime,Gone,Baby,Gone,,,,,,,,,,
923,La Vie En Rose,2007,PG-13,140.0,7.6,66.0,Olivier Dahan,Marion Cotillard,Sylvie Testud,Pascal Greggory,Emmanuelle Seigner,82781,10301706.0,Biography,La,Vie,En,Rose,,,,,,,,,
924,Huo Yuan Jia,2006,PG-13,104.0,7.6,70.0,Ronny Yu,Jet Li,Li Sun,Yong Dong,Yun Qu,72863,24633730.0,Action,Huo,Yuan,Jia,,,,,,,,,,
925,The Illusionist,2006,U,110.0,7.6,68.0,Neil Burger,Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell,354728,39868642.0,Drama,The,Illusionist,,,,,,,,,,,
927,Harry Potter and the Half-Blood Prince,2009,UA,153.0,7.6,78.0,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,474827,301959197.0,Action,Harry,Potter,and,the,Half-Blood,Prince,,,,,,,
928,300,2006,A,117.0,7.6,52.0,Zack Snyder,Gerard Butler,Lena Headey,David Wenham,Dominic West,732876,210614939.0,Action,300,,,,,,,,,,,,
929,Match Point,2005,R,124.0,7.6,72.0,Woody Allen,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,Matthew Goode,206294,23089926.0,Drama,Match,Point,,,,,,,,,,,
930,Watchmen,2009,A,162.0,7.6,56.0,Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman,500799,107509799.0,Action,Watchmen,,,,,,,,,,,,
931,Lord of War,2005,R,122.0,7.6,62.0,Andrew Niccol,Nicolas Cage,Ethan Hawke,Jared Leto,Bridget Moynahan,294140,24149632.0,Action,Lord,of,War,,,,,,,,,,
932,Saw,2004,UA,103.0,7.6,46.0,James Wan,Cary Elwes,Leigh Whannell,Danny Glover,Ken Leung,379020,56000369.0,Horror,Saw,,,,,,,,,,,,
933,"Synecdoche, New York",2008,R,124.0,7.6,67.0,Charlie Kaufman,Philip Seymour Hoffman,Samantha Morton,Michelle Williams,Catherine Keener,83158,3081925.0,Drama,"Synecdoche,",New,York,,,,,,,,,,
934,Mysterious Skin,2004,R,105.0,7.6,73.0,Gregg Araki,Brady Corbet,Joseph Gordon-Levitt,Elisabeth Shue,Chase Ellison,65939,697181.0,Drama,Mysterious,Skin,,,,,,,,,,,
935,Jeux d'enfants,2003,R,93.0,7.6,45.0,Yann Samuell,Guillaume Canet,Marion Cotillard,Thibault Verhaeghe,Joséphine Lebas-Joly,67360,548707.0,Comedy,Jeux,d'enfants,,,,,,,,,,,
936,Un long dimanche de fiançailles,2004,U,133.0,7.6,76.0,Jean-Pierre Jeunet,Audrey Tautou,Gaspard Ulliel,Jodie Foster,Dominique Pinon,70925,6167817.0,Drama,Un,long,dimanche,de,fiançailles,,,,,,,,
937,The Station Agent,2003,R,89.0,7.6,81.0,Tom McCarthy,Peter Dinklage,Patricia Clarkson,Bobby Cannavale,Paul Benjamin,67370,5739376.0,Comedy,The,Station,Agent,,,,,,,,,,
938,21 Grams,2003,UA,124.0,7.6,70.0,Alejandro G. Iñárritu,Sean Penn,Benicio Del Toro,Naomi Watts,Danny Huston,224545,16290476.0,Crime,21,Grams,,,,,,,,,,,
939,Boksuneun naui geot,2002,R,129.0,7.6,56.0,Chan-wook Park,Kang-ho Song,Shin Ha-kyun,Bae Doona,Ji-Eun Lim,62659,45289.0,Crime,Boksuneun,naui,geot,,,,,,,,,,
940,Finding Neverland,2004,U,106.0,7.6,67.0,Marc Forster,Johnny Depp,Kate Winslet,Julie Christie,Radha Mitchell,198677,51680613.0,Biography,Finding,Neverland,,,,,,,,,,,
941,25th Hour,2002,R,135.0,7.6,68.0,Spike Lee,Edward Norton,Barry Pepper,Philip Seymour Hoffman,Rosario Dawson,169708,13060843.0,Drama,25th,Hour,,,,,,,,,,,
942,The Butterfly Effect,2004,U,113.0,7.6,30.0,Eric Bress,J. Mackye Gruber,Ashton Kutcher,Amy Smart,Melora Walters,451479,57938693.0,Drama,The,Butterfly,Effect,,,,,,,,,,
943,28 Days Later...,2002,A,113.0,7.6,73.0,Danny Boyle,Cillian Murphy,Naomie Harris,Christopher Eccleston,Alex Palmer,376853,45064915.0,Drama,28,Days,Later...,,,,,,,,,,
945,The Royal Tenenbaums,2001,A,110.0,7.6,76.0,Wes Anderson,Gene Hackman,Gwyneth Paltrow,Anjelica Huston,Ben Stiller,266842,52364010.0,Comedy,The,Royal,Tenenbaums,,,,,,,,,,
946,Y tu mamá también,2001,A,106.0,7.6,88.0,Alfonso Cuarón,Maribel Verdú,Gael García Bernal,Daniel Giménez Cacho,Ana López Mercado,115827,13622333.0,Drama,Y,tu,mamá,también,,,,,,,,,
947,Harry Potter and the Sorcerer's Stone,2001,U,152.0,7.6,64.0,Chris Columbus,Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith,658185,317575550.0,Adventure,Harry,Potter,and,the,Sorcerer's,Stone,,,,,,,
948,The Others,2001,PG-13,101.0,7.6,74.0,Alejandro Amenábar,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Alakina Mann,337651,96522687.0,Horror,The,Others,,,,,,,,,,,
949,Blow,2001,R,124.0,7.6,52.0,Ted Demme,Johnny Depp,Penélope Cruz,Franka Potente,Rachel Griffiths,240714,52990775.0,Biography,Blow,,,,,,,,,,,,
950,Enemy at the Gates,2001,A,131.0,7.6,53.0,Jean-Jacques Annaud,Jude Law,Ed Harris,Joseph Fiennes,Rachel Weisz,243729,51401758.0,Drama,Enemy,at,the,Gates,,,,,,,,,
951,Minority Report,2002,A,145.0,7.6,80.0,Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow,508417,132072926.0,Action,Minority,Report,,,,,,,,,,,
952,The Hurricane,1999,R,146.0,7.6,74.0,Norman Jewison,Denzel Washington,Vicellous Shannon,Deborah Kara Unger,Liev Schreiber,91557,50668906.0,Biography,The,Hurricane,,,,,,,,,,,
953,American Psycho,2000,A,101.0,7.6,64.0,Mary Harron,Christian Bale,Justin Theroux,Josh Lucas,Bill Sage,490062,15070285.0,Comedy,American,Psycho,,,,,,,,,,,
954,Lola rennt,1998,UA,81.0,7.6,77.0,Tom Tykwer,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Nina Petri,188317,7267585.0,Crime,Lola,rennt,,,,,,,,,,,
955,The Thin Red Line,1998,A,170.0,7.6,78.0,Terrence Malick,Jim Caviezel,Sean Penn,Nick Nolte,Kirk Acevedo,172710,36400491.0,Drama,The,Thin,Red,Line,,,,,,,,,
956,Mulan,1998,U,88.0,7.6,71.0,Tony Bancroft,Barry Cook,Ming-Na Wen,Eddie Murphy,BD Wong,256906,120620254.0,Animation,Mulan,,,,,,,,,,,,
957,Fear and Loathing in Las Vegas,1998,R,118.0,7.6,41.0,Terry Gilliam,Johnny Depp,Benicio Del Toro,Tobey Maguire,Michael Lee Gogin,259753,10680275.0,Adventure,Fear,and,Loathing,in,Las,Vegas,,,,,,,
959,Dark City,1998,A,100.0,7.6,66.0,Alex Proyas,Rufus Sewell,Kiefer Sutherland,Jennifer Connelly,William Hurt,187927,14378331.0,Mystery,Dark,City,,,,,,,,,,,
960,Sleepers,1996,UA,147.0,7.6,49.0,Barry Levinson,Robert De Niro,Kevin Bacon,Brad Pitt,Jason Patric,186734,49100000.0,Crime,Sleepers,,,,,,,,,,,,
961,Lost Highway,1997,A,134.0,7.6,52.0,David Lynch,Bill Pullman,Patricia Arquette,John Roselius,Louis Eppolito,131101,3796699.0,Mystery,Lost,Highway,,,,,,,,,,,
962,Sense and Sensibility,1995,U,136.0,7.6,84.0,Ang Lee,Emma Thompson,Kate Winslet,James Fleet,Tom Wilkinson,102598,43182776.0,Drama,Sense,and,Sensibility,,,,,,,,,,
963,Die Hard: With a Vengeance,1995,A,128.0,7.6,58.0,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,364420,100012499.0,Action,Die,Hard:,With,a,Vengeance,,,,,,,,
964,Dead Man,1995,R,121.0,7.6,62.0,Jim Jarmusch,Johnny Depp,Gary Farmer,Crispin Glover,Lance Henriksen,90442,1037847.0,Adventure,Dead,Man,,,,,,,,,,,
965,The Bridges of Madison County,1995,A,135.0,7.6,69.0,Clint Eastwood,Clint Eastwood,Meryl Streep,Annie Corley,Victor Slezak,73172,71516617.0,Drama,The,Bridges,of,Madison,County,,,,,,,,
967,Trois couleurs: Blanc,1994,U,92.0,7.6,88.0,Krzysztof Kieslowski,Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Jerzy Stuhr,64390,1464625.0,Comedy,Trois,couleurs:,Blanc,,,,,,,,,,
968,Falling Down,1993,R,113.0,7.6,56.0,Joel Schumacher,Michael Douglas,Robert Duvall,Barbara Hershey,Rachel Ticotin,171640,40903593.0,Action,Falling,Down,,,,,,,,,,,
969,Dazed and Confused,1993,U,102.0,7.6,78.0,Richard Linklater,Jason London,Wiley Wiggins,Matthew McConaughey,Rory Cochrane,165465,7993039.0,Comedy,Dazed,and,Confused,,,,,,,,,,
970,My Cousin Vinny,1992,UA,120.0,7.6,68.0,Jonathan Lynn,Joe Pesci,Marisa Tomei,Ralph Macchio,Mitchell Whitfield,107325,52929168.0,Comedy,My,Cousin,Vinny,,,,,,,,,,
